IFBL;ifbluurhok;Xcoord;Ycoord
C225;c2-25;84012.000000;212180.000000
C226;c2-26;88012.000000;212180.000000
C227;c2-27;92012.000000;212180.000000
C228;c2-28;96012.000000;212180.000000
C231;c2-31;68012.000000;208180.000000
C232;c2-32;72012.000000;208180.000000
C233;c2-33;76012.000000;208180.000000
C234;c2-34;80012.000000;208180.000000
C235;c2-35;84012.000000;208180.000000
C236;c2-36;88012.000000;208180.000000
C237;c2-37;92012.000000;208180.000000
C238;c2-38;96012.000000;208180.000000
C241;c2-41;68012.000000;204180.000000
C242;c2-42;72012.000000;204180.000000
C243;c2-43;76012.000000;204180.000000
C244;c2-44;80012.000000;204180.000000
C245;c2-45;84012.000000;204180.000000
C246;c2-46;88012.000000;204180.000000
C247;c2-47;92012.000000;204180.000000
C248;c2-48;96012.000000;204180.000000
C251;c2-51;68012.000000;200180.000000
C252;c2-52;72012.000000;200180.000000
C253;c2-53;76012.000000;200180.000000
C254;c2-54;80012.000000;200180.000000
C255;c2-55;84012.000000;200180.000000
C256;c2-56;88012.000000;200180.000000
C257;c2-57;92012.000000;200180.000000
C258;c2-58;96012.000000;200180.000000
C311;c3-11;100012.000000;216180.000000
C312;c3-12;104012.000000;216180.000000
C313;c3-13;108012.000000;216180.000000
C317;c3-17;124012.000000;216180.000000
C318;c3-18;128012.000000;216180.000000
C321;c3-21;100012.000000;212180.000000
C322;c3-22;104012.000000;212180.000000
C323;c3-23;108012.000000;212180.000000
C324;c3-24;112012.000000;212180.000000
C325;c3-25;116012.000000;212180.000000
C326;c3-26;120012.000000;212180.000000
C327;c3-27;124012.000000;212180.000000
C328;c3-28;128012.000000;212180.000000
C331;c3-31;100012.000000;208180.000000
C332;c3-32;104012.000000;208180.000000
C333;c3-33;108012.000000;208180.000000
C334;c3-34;112012.000000;208180.000000
C335;c3-35;116012.000000;208180.000000
C336;c3-36;120012.000000;208180.000000
C337;c3-37;124012.000000;208180.000000
C338;c3-38;128012.000000;208180.000000
C341;c3-41;100012.000000;204180.000000
C342;c3-42;104012.000000;204180.000000
C343;c3-43;108012.000000;204180.000000
C344;c3-44;112012.000000;204180.000000
C345;c3-45;116012.000000;204180.000000
C346;c3-46;120012.000000;204180.000000
C347;c3-47;124012.000000;204180.000000
C348;c3-48;128012.000000;204180.000000
C351;c3-51;100012.000000;200180.000000
C352;c3-52;104012.000000;200180.000000
C353;c3-53;108012.000000;200180.000000
C354;c3-54;112012.000000;200180.000000
C355;c3-55;116012.000000;200180.000000
C356;c3-56;120012.000000;200180.000000
C357;c3-57;124012.000000;200180.000000
C358;c3-58;128012.000000;200180.000000
C411;c4-11;132012.000000;216180.000000
C412;c4-12;136012.000000;216180.000000
C413;c4-13;140012.000000;216180.000000
C414;c4-14;144012.000000;216180.000000
C415;c4-15;148012.000000;216180.000000
