IFBL;IFBLuurhok;Xcoord;Ycoord;REGIO;DISTRICT;area;max
E245;e2-45;84012.000000;164180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8679028.872760;y
E246;e2-46;88012.000000;164180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;11485347.593769;y
E138;e1-38;64012.000000;168180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;11165577.159192;y
E231;e2-31;68012.000000;168180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;13664428.074842;y
E232;e2-32;72012.000000;168180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8837459.451300;y
E237;e2-37;92012.000000;168180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;11434293.620970;y
E222;e2-22;72012.000000;172180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;13747872.692511;y
E223;e2-23;76012.000000;172180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
E224;e2-24;80012.000000;172180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15775269.619430;y
E225;e2-25;84012.000000;172180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8556122.124966;y
E228;e2-28;96012.000000;172180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;9440293.129975;y
E213;e2-13;76012.000000;176180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;11321562.725956;y
E214;e2-14;80012.000000;176180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
E215;e2-15;84012.000000;176180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15238073.273346;y
E311;e3-11;100012.000000;176180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;13414811.635187;y
D254;d2-54;80012.000000;180180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;14875735.461690;y
D255;d2-55;84012.000000;180180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D256;d2-56;88012.000000;180180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;14096865.027559;y
D258;d2-58;96012.000000;180180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15209168.157902;y
D351;d3-51;100012.000000;180180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;10120048.983848;y
D245;d2-45;84012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15980604.316421;y
D246;d2-46;88012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D247;d2-47;92012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D248;d2-48;96012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D341;d3-41;100012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15188975.597591;y
D447;d4-47;156012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;7530980.876141;y
D542;d5-42;168012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;11476732.697703;y
D543;d5-43;172012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;14880135.142517;y
D544;d5-44;176012.000000;184180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;11600255.705321;y
D236;d2-36;88012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8055450.003621;y
D237;d2-37;92012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;13790665.437407;y
D238;d2-38;96012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D331;d3-31;100012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D332;d3-32;104012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;14977011.815986;y
D334;d3-34;112012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8481791.357177;y
D435;d4-35;148012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;9686624.551620;y
D436;d4-36;152012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D437;d4-37;156012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D438;d4-38;160012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D531;d5-31;164012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D532;d5-32;168012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D533;d5-33;172012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15325196.533115;y
D534;d5-34;176012.000000;188180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8419769.008453;y
D228;d2-28;96012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D321;d3-21;100012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D322;d3-22;104012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15750807.439907;y
D323;d3-23;108012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8717293.642618;y
D324;d3-24;112012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D325;d3-25;116012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15361874.423247;y
D326;d3-26;120012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;10221288.133330;y
D327;d3-27;124012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8253490.100067;y
D423;d4-23;140012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15498092.587442;y
D424;d4-24;144012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D425;d4-25;148012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D426;d4-26;152012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;14438471.026243;y
D427;d4-27;156012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;12137342.741739;y
D428;d4-28;160012.000000;192180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;12427306.939136;y
D216;d2-16;88012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;13290275.337588;y
D217;d2-17;92012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;10146568.527097;y
D218;d2-18;96012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D311;d3-11;100012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D312;d3-12;104012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D313;d3-13;108012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D314;d3-14;112012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D315;d3-15;116012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D316;d3-16;120012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
D317;d3-17;124012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
